                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7326,                 2.8881,                 1.3091,                0.05302,                 0.7463,                0.23747,                0.10977,                 1.7612,                 2.9226,                 1.1185,             0.00032979,             0.00032979,             0.00032979
                      2,                 1.6222,                 2.0688,                 1.2318,                0.35617,                0.47606,                0.35928,                0.15561,                  1.816,                 1.5664,                 1.2257,             0.00063328,             0.00063328,             0.00063328
                      3,                 1.5991,                  1.921,                 1.2151,                0.39833,                0.48312,                0.40583,                0.18016,                 1.8597,                 1.6399,                 1.2895,             0.00090677,             0.00090677,             0.00090677
                      4,                 1.5777,                 1.8204,                 1.2126,                0.43785,                0.45257,                0.42171,                0.20762,                 1.6557,                 1.5141,                 1.2057,               0.000865,               0.000865,               0.000865
                      5,                 1.5361,                  1.737,                 1.1928,                 0.4153,                0.48051,                0.43722,                0.19063,                 1.9064,                 1.5127,                 1.2796,                0.00082,                0.00082,                0.00082
                      6,                   1.52,                 1.6689,                 1.1876,                0.48826,                 0.4653,                0.45721,                0.20927,                 1.8368,                 1.4319,                 1.2352,               0.000775,               0.000775,               0.000775
                      7,                 1.5057,                 1.6473,                 1.1708,                0.46407,                0.48157,                0.45763,                0.20447,                 1.8566,                 1.4839,                 1.2499,                0.00073,                0.00073,                0.00073
                      8,                 1.4981,                 1.5909,                 1.1658,                0.50985,                0.50086,                0.48891,                 0.2372,                 1.6923,                 1.3911,                 1.1742,               0.000685,               0.000685,               0.000685
                      9,                 1.5158,                 1.5936,                 1.1688,                0.51322,                0.51395,                0.49115,                0.26036,                 1.6157,                 1.3216,                 1.1521,                0.00064,                0.00064,                0.00064
                     10,                 1.4959,                 1.5556,                 1.1592,                 0.5158,                0.48648,                0.48781,                0.22868,                 1.8299,                 1.3801,                  1.222,               0.000595,               0.000595,               0.000595
                     11,                 1.4968,                 1.5482,                 1.1583,                0.47381,                0.50326,                0.48739,                0.25562,                 1.6202,                 1.3084,                 1.1503,                0.00055,                0.00055,                0.00055
                     12,                  1.475,                  1.522,                 1.1455,                 0.4953,                0.49797,                0.50268,                0.25266,                 1.7501,                 1.3418,                 1.1773,               0.000505,               0.000505,               0.000505
                     13,                  1.427,                 1.4858,                 1.1478,                   0.52,                0.49401,                0.50024,                0.23404,                 1.8076,                 1.3466,                 1.1951,                0.00046,                0.00046,                0.00046
                     14,                 1.4034,                 1.4262,                 1.1317,                0.51058,                0.49411,                 0.5139,                0.26806,                 1.6194,                 1.2849,                 1.1288,               0.000415,               0.000415,               0.000415
                     15,                 1.4127,                  1.429,                 1.1405,                0.50565,                0.49269,                0.49193,                0.25563,                 1.5759,                 1.2925,                 1.1196,                0.00037,                0.00037,                0.00037
                     16,                 1.3907,                 1.3949,                 1.1327,                0.51073,                0.50363,                0.51785,                0.26331,                 1.6541,                 1.2869,                 1.1413,               0.000325,               0.000325,               0.000325
                     17,                 1.3889,                 1.3834,                 1.1237,                0.52825,                0.48662,                0.51655,                0.25474,                 1.7745,                 1.3105,                 1.1749,                0.00028,                0.00028,                0.00028
                     18,                 1.3761,                 1.3497,                 1.1216,                 0.5384,                0.51647,                0.53003,                0.28467,                  1.608,                 1.2481,                 1.1176,               0.000235,               0.000235,               0.000235
                     19,                  1.365,                  1.351,                 1.1163,                  0.563,                 0.4797,                0.53042,                0.27811,                 1.6282,                 1.2581,                 1.1284,                0.00019,                0.00019,                0.00019
                     20,                 1.3699,                 1.3371,                 1.1061,                0.51433,                0.51741,                0.53506,                0.27944,                 1.6545,                 1.2575,                 1.1357,               0.000145,               0.000145,               0.000145
                     21,                 1.3476,                 1.3163,                 1.1021,                0.58657,                0.48475,                0.53577,                0.26822,                 1.7125,                  1.266,                 1.1452,                 0.0001,                 0.0001,                 0.0001
                     22,                 1.3506,                 1.3186,                 1.0982,                 0.5307,                0.50715,                0.53096,                0.28647,                 1.5958,                 1.2449,                 1.1163,                5.5e-05,                5.5e-05,                5.5e-05
